                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3468,                 4.7304,                 2.4474,                 0.7173,                0.20983,                0.20914,                 0.1491,                 2.1801,                 2.9049,                  2.578,              0.0033297,              0.0033297,              0.0033297
                      2,                 2.4007,                 3.4088,                 2.4026,                0.39005,                0.23116,                0.20309,                0.14072,                 2.3428,                 3.7164,                 2.6968,                0.00663,                0.00663,                0.00663
                      3,                 2.5797,                 3.4848,                 2.4823,                0.57423,                0.19301,                0.20191,                 0.1363,                 2.5071,                 3.1304,                 2.8635,              0.0098974,              0.0098974,              0.0098974
                      4,                 2.6516,                 3.5128,                 2.5236,                0.66042,                0.23427,                0.23766,                0.16133,                  2.432,                 3.4714,                  2.808,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.5901,                  3.236,                 2.4808,                0.43438,                0.27035,                0.25268,                0.17383,                  2.388,                 2.7456,                 2.7966,               0.009802,               0.009802,               0.009802
                      6,                 2.5018,                 3.0029,                 2.4469,                 0.4171,                0.31127,                0.27802,                0.19338,                 2.3558,                  2.785,                  2.748,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.4709,                 2.9144,                 2.4253,                0.49832,                0.32269,                0.30675,                0.21623,                 2.2825,                 2.5231,                 2.6743,               0.009703,               0.009703,               0.009703
                      8,                 2.4218,                 2.8192,                 2.3985,                0.54562,                0.28205,                0.28541,                 0.1991,                 2.2787,                 2.6398,                 2.6929,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.3929,                 2.7369,                 2.3809,                0.47031,                0.30253,                0.29513,                0.20726,                 2.2483,                 2.4507,                 2.6487,               0.009604,               0.009604,               0.009604
                     10,                 2.3521,                 2.6449,                 2.3762,                0.47607,                0.33972,                0.32738,                0.23644,                 2.2273,                 2.4791,                 2.6688,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.3345,                 2.5938,                 2.3579,                0.49599,                 0.3198,                0.34483,                0.25288,                 2.2324,                 2.4327,                 2.6367,               0.009505,               0.009505,               0.009505
                     12,                 2.3466,                 2.5411,                 2.3613,                0.48114,                0.31927,                0.33404,                0.23823,                 2.2069,                 2.3558,                 2.6407,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.3091,                 2.4822,                 2.3382,                0.52731,                0.36478,                0.35161,                0.25471,                 2.2035,                 2.3952,                 2.6543,               0.009406,               0.009406,               0.009406
                     14,                 2.3011,                 2.4482,                 2.3322,                0.45002,                0.35957,                0.35602,                 0.2607,                 2.1798,                 2.3489,                 2.5942,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.3014,                 2.4073,                 2.3235,                0.51861,                0.35888,                0.37429,                0.27542,                 2.1766,                 2.3753,                 2.5941,               0.009307,               0.009307,               0.009307
                     16,                 2.2937,                  2.351,                 2.3143,                0.53909,                0.34891,                 0.3691,                  0.269,                 2.1628,                 2.4457,                 2.5986,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.2477,                 2.3454,                  2.312,                0.50879,                0.37024,                0.38463,                0.28256,                 2.1546,                 2.3207,                 2.6014,               0.009208,               0.009208,               0.009208
                     18,                  2.223,                 2.3347,                 2.3134,                0.48436,                0.36813,                0.37388,                0.27231,                 2.1517,                 2.3065,                 2.5966,              0.0091585,              0.0091585,              0.0091585
                     19,                 2.2298,                 2.2699,                 2.2981,                0.48572,                0.37511,                0.37015,                0.26633,                 2.1626,                 2.2666,                 2.5896,               0.009109,               0.009109,               0.009109
                     20,                  2.209,                 2.2426,                 2.2908,                0.54677,                0.37985,                0.37989,                 0.2737,                 2.1601,                 2.3207,                 2.5785,              0.0090595,              0.0090595,              0.0090595
                     21,                 2.2359,                  2.198,                  2.276,                0.48148,                 0.3938,                0.38699,                0.28387,                 2.1568,                 2.3018,                 2.5882,                0.00901,                0.00901,                0.00901
                     22,                 2.2159,                 2.1731,                 2.2825,                0.47914,                0.40824,                0.38927,                0.28567,                 2.1366,                 2.2704,                 2.5838,              0.0089605,              0.0089605,              0.0089605
                     23,                 2.1763,                 2.1325,                 2.2898,                 0.5025,                0.38726,                0.40229,                 0.2946,                 2.1435,                 2.3418,                 2.5601,               0.008911,               0.008911,               0.008911
                     24,                 2.2145,                  2.145,                 2.2689,                 0.4907,                0.40667,                0.39218,                0.28533,                 2.1282,                  2.256,                 2.5837,              0.0088615,              0.0088615,              0.0088615
